readingGUID,unitGUID,mUnitGUID,sensorGUID,analogID,readingValue,recharge,cyclePulses,readingStart,readingStop,dp,sensorGUID,sensorName,unitGUID,unitID,unitName,common_name,mUnitGUID,mUnitName,requestGUID,alarmGUID,readingGUID,outputGUID,lastUpdate,outputGUID,unitGUID,modeGUID,statusGUID,outputID,outputName,highState,lowState,statusGUID,statusID,statusName,modeGUID,modeID,modeName,requestGUID,unitGUID,modeGUID,success,requestMessage,requestNow,requestName,tz,updateCycle,alarmGUID,unitGUID,typeGUID,statusGUID,mUnitGUID,alarmID,alarmName,healthyName,faultyName,pulseTotal,typeGUID,typeID,typeName
8CA9A8CC-8461-43C0-B640-A58645662183,DFACE510-E78A-4238-B7BD-078DE382A948,46355CE1-43DC-42D4-A098-194929094116,C22615F9-62AA-40AA-8F47-2C3EEC647E9C,0,0.13,30,0,0.05,0.09,2,C22615F9-62AA-40AA-8F47-2C3EEC647E9C,Sunken Planter Level,DFACE510-E78A-4238-B7BD-078DE382A948,524,Control Panel 5 PH1,Control Panel 5 PH1,46355CE1-43DC-42D4-A098-194929094116,M,NULL,NULL,8CA9A8CC-8461-43C0-B640-A58645662183,NULL,2022-01-17 11:45:00.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1CC00B5E-7B9D-47B3-8E19-F5C6CDBC102F,DFACE510-E78A-4238-B7BD-078DE382A948,C19BEB92-BD1D-49D9-8B25-02DA1CCF3819,5B111000-F4DF-4AF6-92DD-05A850146131,1,26,120,0.15,20,30,0,5B111000-F4DF-4AF6-92DD-05A850146131,Live Wall,DFACE510-E78A-4238-B7BD-078DE382A948,524,Control Panel 5 PH1,Control Panel 5 PH1,C19BEB92-BD1D-49D9-8B25-02DA1CCF3819,%,NULL,NULL,1CC00B5E-7B9D-47B3-8E19-F5C6CDBC102F,NULL,2022-01-17 11:45:00.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,84223943-C451-4C8A-B310-44985AA6D287,NULL,NULL,NULL,2022-01-17 11:45:00.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,84223943-C451-4C8A-B310-44985AA6D287,DFACE510-E78A-4238-B7BD-078DE382A948,57BFE031-3592-4483-ADCD-6549356182E8,1,Reading Good,2022-01-17 11:45:03.000,Control Panel 5 PH1,Europe/London,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2175235F-2D04-40E4-8FBB-36B1AB4739A6,2022-01-17 11:45:00.000,2175235F-2D04-40E4-8FBB-36B1AB4739A6,DFACE510-E78A-4238-B7BD-078DE382A948,D86D2C55-BD43-419E-A7E5-F4A74D372EAD,33B0580F-8334-4764-8E5B-B53B03A7CB7D,0,Sunken Planter Solenoid,On,Off,33B0580F-8334-4764-8E5B-B53B03A7CB7D,0,NULL,D86D2C55-BD43-419E-A7E5-F4A74D372EAD,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AEF5D0A3-23E3-4266-877B-DAB841279EE5,2022-01-17 11:45:00.000,AEF5D0A3-23E3-4266-877B-DAB841279EE5,DFACE510-E78A-4238-B7BD-078DE382A948,D86D2C55-BD43-419E-A7E5-F4A74D372EAD,33B0580F-8334-4764-8E5B-B53B03A7CB7D,1,Live Wall Solenoid,On,Off,33B0580F-8334-4764-8E5B-B53B03A7CB7D,0,NULL,D86D2C55-BD43-419E-A7E5-F4A74D372EAD,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3F898A24-86A1-4331-8C33-2F75A5894072,AD1C5729-257E-4120-B593-D78C7B1AF4B7,C19BEB92-BD1D-49D9-8B25-02DA1CCF3819,34BBD2B5-BA22-4850-9D34-7FB001EE65D9,1,70,60,0.2,65,70,0,34BBD2B5-BA22-4850-9D34-7FB001EE65D9,WonderWall,AD1C5729-257E-4120-B593-D78C7B1AF4B7,530,8C:5C:E4:E0:79:6D,Roof top irrigation 1,C19BEB92-BD1D-49D9-8B25-02DA1CCF3819,%,NULL,NULL,3F898A24-86A1-4331-8C33-2F75A5894072,NULL,2022-01-17 11:44:57.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7028E6F9-6DF2-4794-BEDC-95CB0B06BB96,AD1C5729-257E-4120-B593-D78C7B1AF4B7,C19BEB92-BD1D-49D9-8B25-02DA1CCF3819,E15A2D5B-FFB3-4049-AD7D-24FCF6CF71BF,2,57,240,0.15,30,35,0,E15A2D5B-FFB3-4049-AD7D-24FCF6CF71BF,"Planters ",AD1C5729-257E-4120-B593-D78C7B1AF4B7,530,8C:5C:E4:E0:79:6D,Roof top irrigation 1,C19BEB92-BD1D-49D9-8B25-02DA1CCF3819,%,NULL,NULL,7028E6F9-6DF2-4794-BEDC-95CB0B06BB96,NULL,2022-01-17 11:44:57.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F957CCD9-AAFF-458D-A511-FF831ADB94E3,AD1C5729-257E-4120-B593-D78C7B1AF4B7,C19BEB92-BD1D-49D9-8B25-02DA1CCF3819,CF2B25F5-07E7-46DE-94B5-0680350B7C22,3,127,240,0.15,50,60,0,CF2B25F5-07E7-46DE-94B5-0680350B7C22,"Meadow ",AD1C5729-257E-4120-B593-D78C7B1AF4B7,530,8C:5C:E4:E0:79:6D,Roof top irrigation 1,C19BEB92-BD1D-49D9-8B25-02DA1CCF3819,%,NULL,NULL,F957CCD9-AAFF-458D-A511-FF831ADB94E3,NULL,2022-01-17 11:44:57.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
C8FF8E00-8BA1-44B4-9E40-5808BED580CA,AD1C5729-257E-4120-B593-D78C7B1AF4B7,C19BEB92-BD1D-49D9-8B25-02DA1CCF3819,61A764A7-8EBD-425A-A8EC-FDE99666E3A9,0,0,240,0.15,25,30,0,61A764A7-8EBD-425A-A8EC-FDE99666E3A9,Climbers,AD1C5729-257E-4120-B593-D78C7B1AF4B7,530,8C:5C:E4:E0:79:6D,Roof top irrigation 1,C19BEB92-BD1D-49D9-8B25-02DA1CCF3819,%,NULL,NULL,C8FF8E00-8BA1-44B4-9E40-5808BED580CA,NULL,2022-01-17 11:44:57.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AD3D9ABB-22D5-4B88-A96C-66CE8ADCD4A4,NULL,NULL,NULL,2022-01-17 11:44:57.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AD3D9ABB-22D5-4B88-A96C-66CE8ADCD4A4,AD1C5729-257E-4120-B593-D78C7B1AF4B7,57BFE031-3592-4483-ADCD-6549356182E8,1,Reading Good,2022-01-17 11:45:04.000,8C:5C:E4:E0:79:6D,Europe/London,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
